family,sequence,n_t,r,T,K,m,S,rate,E,bound,design_bound,asymptotic
id,fixed_E,24,12,4096,776,9312,1,0.5493698059545118,0.1,0.189208984375,0.18946457081379972,0.5
id,vanishing_E,24,12,4096,137,1644,1,0.44512477432007014,0.20412414523193154,0.033203125,0.033516620862494656,0.5
id,fixed_E,26,13,8192,1351,17563,1,0.5423173722102607,0.1,0.164794921875,0.16493848884661177,0.5
id,vanishing_E,26,13,8192,239,3107,1,0.4462040971585323,0.19611613513818404,0.029052734375,0.029177103632504895,0.5
id,fixed_E,28,14,16384,2352,32928,1,0.5359652595319274,0.1,0.14349365234375,0.14358729437462936,0.5
id,vanishing_E,28,14,16384,418,5852,1,0.4469540733620888,0.1889822365046136,0.02545166015625,0.025532832053792892,0.5
id,fixed_E,30,15,32768,4096,61440,1,0.5302296865202839,0.1,0.124969482421875,0.125,0.5
id,vanishing_E,30,15,32768,735,11025,1,0.44761636784440817,0.18257418583505536,0.02239990234375,0.02244867998231078,0.5
id,fixed_E,32,16,65536,7131,114096,1,0.5249965215207372,0.1,0.108795166015625,0.1088188204120155,0.5
id,vanishing_E,32,16,65536,1298,20768,1,0.4481898333749731,0.17677669529663687,0.0197906494140625,0.019820617922037216,0.5
id,fixed_E,34,17,131072,12416,211072,1,0.5202169318658079,0.1,0.09471893310546875,0.09473228540689986,0.5
id,vanishing_E,34,17,131072,2302,39134,1,0.44870985174654615,0.17149858514250882,0.01755523681640625,0.017567443942288836,0.5
id,fixed_E,36,18,262144,21618,389124,1,0.5158297344052849,0.1,0.08246231079101562,0.08246924442330589,0.5
id,vanishing_E,36,18,262144,4096,73728,1,0.44916458337339754,0.16666666666666666,0.015621185302734375,0.015625,0.5
id,fixed_E,38,19,524288,37640,715160,1,0.5117870137120917,0.1,0.07179069519042969,0.07179364718731468,0.5
id,vanishing_E,38,19,524288,7309,138871,1,0.4495627850442152,0.16222142113076254,0.01393890380859375,0.013942044976347436,0.5
id,fixed_E,40,20,1048576,65536,1310720,1,0.5080482023721841,0.1,0.062499046325683594,0.0625,0.5
id,vanishing_E,40,20,1048576,13083,261660,1,0.4499333467672531,0.15811388300841897,0.012475967407226562,0.01247725753999603,0.5
id,fixed_E,42,21,2097152,114104,2396184,1,0.5045787443921173,0.1,0.05440855026245117,0.05440941020600775,0.5
id,vanishing_E,42,21,2097152,23481,493101,1,0.4502743726913935,0.1543033499620919,0.011196136474609375,0.011197025200697243,0.5
id,fixed_E,44,22,4194304,198668,4370696,1,0.5013507183073853,0.1,0.04736590385437012,0.04736614270344993,0.5
id,vanishing_E,44,22,4194304,42252,929544,1,0.45059462798230876,0.15075567228888181,0.010073423385620117,0.010073790330393486,0.5
id,fixed_E,46,23,8388608,345901,7955723,1,0.4983382959791941,0.1,0.041234493255615234,0.04123462221165293,0.5
id,vanishing_E,46,23,8388608,76208,1752784,1,0.4508960171613268,0.14744195615489714,0.009084582328796387,0.009084797149691334,0.5
id,fixed_E,48,24,16777216,602248,14453952,1,0.49552001401242923,0.1,0.03589671850204468,0.035896823593657326,0.5
id,vanishing_E,48,24,16777216,137759,3306216,1,0.4511822823008828,0.14433756729740646,0.008211016654968262,0.00821113158104598,0.5
id,fixed_E,50,25,33554432,1048576,26214400,1,0.4928771237954945,0.1,0.031249970197677612,0.03125,0.5
id,vanishing_E,50,25,33554432,249543,6238575,1,0.4514557019835852,0.1414213562373095,0.007436931133270264,0.007436977837164958,0.5
id,fixed_E,52,26,67108864,1825676,47467576,1,0.490393058510844,0.1,0.02720467746257782,0.027204705103003875,0.5
id,vanishing_E,52,26,67108864,452920,11775920,1,0.4517180084570848,0.1386750490563073,0.006749019026756287,0.006749037330958367,0.5
id,fixed_E,54,27,134217728,3178688,85824576,1,0.48805347201946525,0.1,0.023683063685894012,0.023683071351724965,0.5
id,vanishing_E,54,27,134217728,823569,22236363,1,0.45197069450073396,0.13608276348795434,0.006136059761047363,0.0061360704898843045,0.5
id,fixed_E,56,28,268435456,5534417,154963676,1,0.48584562217358057,0.1,0.020617306232452393,0.020617311105826465,0.5
id,vanishing_E,56,28,268435456,1500160,42004480,1,0.452214997702986,0.1336306209562122,0.0055885277688503265,0.0055885325677006836,0.5
id,fixed_E,58,29,536870912,9635980,279443420,1,0.4837582924765396,0.1,0.017948409542441368,0.017948411796828663,0.5
id,vanishing_E,58,29,536870912,2737119,79376451,1,0.45245185730452403,0.13130643285972254,0.005098279565572739,0.0050982820134295335,0.5
id,fixed_E,60,30,1073741824,16777216,503316480,1,0.4817815099268087,0.1,0.015624999068677425,0.015625,0.5
id,vanishing_E,60,30,1073741824,5001860,150055800,1,0.45268206404295097,0.12909944487358055,0.004658344201743603,0.0046583453287923435,0.5
id,fixed_E,62,31,2147483648,29210829,905535699,1,0.47990639156237813,0.1,0.013602351769804955,0.013602352551501938,0.5
id,vanishing_E,62,31,2147483648,9154134,283778154,1,0.45290626274606055,0.1270001270001905,0.004262725356966257,0.004262726254365756,0.5
id,fixed_E,64,32,4294967296,50859008,1627488256,1,0.4781249997951196,0.1,0.011841535335406661,0.011841535675862483,0.5
id,vanishing_E,64,32,4294967296,16777216,536870912,1,0.453125,0.125,0.0039062497671693563,0.00390625,0.5
id,fixed_E,66,33,8589934592,88550676,2922172308,1,0.47643021369985755,0.1,0.010308655328117311,0.010308655552913232,0.5
id,vanishing_E,66,33,8589934592,30790065,1016072145,1,0.4533387226755602,0.12309149097933272,0.00358443520963192,0.0035844353711056904,0.5
id,fixed_E,68,34,17179869184,154175683,5241973222,1,0.47481562996815424,0.1,0.00897420581895858,0.008974205898414332,0.5
id,vanishing_E,68,34,17179869184,56579996,1923719864,1,0.4535478173559228,0.12126781251816648,0.0032933891634456813,0.0032933892440528195,0.5
id,fixed_E,70,35,34359738368,268435456,9395240960,1,0.4732754716706424,0.1,0.0078124999708961695,0.0078125,0.5
id,vanishing_E,70,35,34359738368,104100354,3643512390,1,0.45375261072382167,0.11952286093343936,0.0030297190241981298,0.0030297190552690556,0.5
id,fixed_E,72,36,68719476736,467373274,16825437864,1,0.4718045138720977,0.1,0.006801176248700358,0.006801176275750969,0.5
id,vanishing_E,72,36,68719476736,191758943,6903321948,1,0.453953383643637,0.11785113019775793,0.002790459868265316,0.0027904598922210595,0.5
id,fixed_E,74,37,137438953472,813744135,30108532995,1,0.4703980184449591,0.1,0.005920767827774398,0.005920767837931241,0.5
id,vanishing_E,74,37,137438953472,353632280,13084394360,1,0.4541503796822805,0.11624763874381928,0.0025730134730110876,0.0025730134840280003,0.5
id,fixed_E,76,38,274877906944,1416810830,53838811540,1,0.4690516777964671,0.1,0.005154327769560041,0.005154327776456616,0.5
id,vanishing_E,76,38,274877906944,652861675,24808743650,1,0.45434381086616765,0.11470786693528087,0.002375096933974419,0.0023750969384906933,0.5
id,fixed_E,78,39,549755813888,2466810933,96205626387,1,0.4677615669021873,0.1,0.004487102945859078,0.004487102949207166,0.5
id,vanishing_E,78,39,549755813888,1206548809,47055403551,1,0.45453386348077357,0.11322770341445956,0.002194699496612884,0.00219469950000494,0.5
id,fixed_E,80,40,1099511627776,4294967296,171798691840,1,0.466524101186092,0.1,0.0039062499990905053,0.00390625,0.5
id,vanishing_E,80,40,1099511627776,2232059113,89282364520,1,0.45472070230413053,0.11180339887498948,0.002030045936407987,0.002030045938102317,0.5
id,fixed_E,82,41,2199023255552,7477972397,306596868277,1,0.46533600005457126,0.1,0.003400588137083105,0.0034005881378754823,0.5
id,vanishing_E,82,41,2199023255552,4133208114,169461532674,1,0.4549044739789559,0.11043152607484653,0.0018795654400491912,0.0018795654407726928,0.5
id,fixed_E,84,42,4398046511104,13019906166,546836058972,1,0.46419425503263845,0.1,0.002960383918662046,0.0029603839189656206,0.5
