family,n_t,m,r,K,T,S,R_t,bound,count,shards,q05,median,q95,sample_max,sample_mean,zero_count
exact-threshold,24,24,12,2,4096,276,0.19104010419671483,0.0673828125,2000,1,0.064453125,0.065673828125,0.066650390625,0.0673828125,0.065592041015625,0
exact-threshold,26,26,13,2,8192,325,0.1807861430054266,0.0396728515625,2000,1,0.03857421875,0.0390625,0.0394287109375,0.0396728515625,0.03905145263671875,0
exact-threshold,28,28,14,2,16384,378,0.171691247216343,0.0230712890625,2000,1,0.02264404296875,0.02288818359375,0.02301025390625,0.0230712890625,0.022854034423828124,0
exact-threshold,30,45,15,3,32768,990,0.18306176987765582,0.0604248046875,2000,1,0.028289794921875,0.029754638671875,0.031341552734375,0.033416748046875,0.02979254150390625,0
exact-threshold,32,48,16,3,65536,1128,0.17453007814753613,0.034423828125,2000,1,0.016265106201171876,0.01708984375,0.01788330078125,0.0191650390625,0.017077468872070314,0
exact-threshold,34,68,17,4,131072,2278,0.17904302474265704,0.0521392822265625,2000,1,0.016639328002929686,0.01721954345703125,0.0178070068359375,0.0184173583984375,0.017216476440429687,0
exact-threshold,36,90,18,5,262144,4005,0.1803292526758243,0.0611114501953125,2000,1,0.0147705078125,0.015163421630859375,0.015544891357421875,0.015895843505859375,0.015158126831054688,0
exact-threshold,38,95,19,5,524288,4465,0.17289093706134073,0.03406524658203125,2000,1,0.008275985717773438,0.008480072021484375,0.008695697784423828,0.008905410766601562,0.008481290817260742,0
exact-threshold,40,120,20,6,1048576,7140,0.17267226489021298,0.034046173095703125,2000,1,0.006655645370483398,0.006781101226806641,0.0069122314453125,0.007037162780761719,0.0067834281921386715,0
id,24,9312,12,776,4096,1,0.5493698059545118,0.189208984375,2000,1,0.0,0.000244140625,0.000732421875,0.001220703125,0.0002330322265625,781
id,26,17563,13,1351,8192,1,0.5423173722102607,0.164794921875,2000,1,0.0,0.0001220703125,0.0003662109375,0.0006103515625,0.00012249755859375,712
id,28,32928,14,2352,16384,1,0.5359652595319274,0.14349365234375,2000,1,0.0,6.103515625e-05,0.00018310546875,0.0003662109375,6.060791015625e-05,751
id,30,61440,15,4096,32768,1,0.5302296865202839,0.124969482421875,2000,1,0.0,3.0517578125e-05,9.1552734375e-05,0.00018310546875,3.08685302734375e-05,747
id,32,114096,16,7131,65536,1,0.5249965215207372,0.108795166015625,2000,1,0.0,1.52587890625e-05,4.57763671875e-05,9.1552734375e-05,1.514434814453125e-05,752
id,34,211072,17,12416,131072,1,0.5202169318658079,0.09471893310546875,2000,1,0.0,7.62939453125e-06,2.288818359375e-05,3.814697265625e-05,7.595062255859375e-06,747
id,36,389124,18,21618,262144,1,0.5158297344052849,0.08246231079101562,2000,1,0.0,3.814697265625e-06,1.1444091796875e-05,2.288818359375e-05,3.870010375976562e-06,748
id,38,715160,19,37640,524288,1,0.5117870137120917,0.07179069519042969,200,4,0.0,1.9073486328125e-06,5.7220458984375e-06,1.1444091796875e-05,1.9168853759765623e-06,73
id,40,1310720,20,65536,1048576,1,0.5080482023721841,0.062499046325683594,200,4,0.0,9.5367431640625e-07,2.86102294921875e-06,3.814697265625e-06,8.821487426757813e-07,82
rank,24,432,12,36,4096,21,0.3647869792568112,0.179443359375,2000,1,0.00341796875,0.005126953125,0.007080078125,0.009033203125,0.0051351318359375,0
rank,26,832,13,64,8192,21,0.37309383531311896,0.1614990234375,2000,1,0.001708984375,0.0025634765625,0.0035400390625,0.0045166015625,0.00256683349609375,0
rank,28,1568,14,112,16384,21,0.3790967801469717,0.14227294921875,2000,1,0.0008544921875,0.00128173828125,0.00177001953125,0.00225830078125,0.001285247802734375,0
rank,30,2925,15,195,32768,21,0.383807363645271,0.12432861328125,2000,1,0.00042724609375,0.000640869140625,0.000885009765625,0.001251220703125,0.0006400604248046875,0
rank,32,5424,16,339,65536,21,0.38766067072301075,0.108306884765625,2000,1,0.000213623046875,0.0003204345703125,0.0004425048828125,0.0005645751953125,0.00032033538818359376,0
rank,34,10047,17,591,131072,21,0.3910140341596433,0.0945281982421875,2000,1,0.0001068115234375,0.00016021728515625,0.00022125244140625,0.000335693359375,0.00016146469116210937,0
rank,36,18522,18,1029,262144,21,0.3938042296760078,0.0823516845703125,2000,1,5.340576171875e-05,8.0108642578125e-05,0.000110626220703125,0.00014495849609375,8.088111877441406e-05,0
rank,38,34048,19,1792,524288,21,0.396191643039505,0.07173728942871094,2000,1,2.6702880859375e-05,4.00543212890625e-05,5.340576171875e-05,7.05718994140625e-05,4.0017127990722655e-05,0
rank,40,62400,20,3120,1048576,21,0.3982314602159243,0.06246471405029297,2000,1,1.33514404296875e-05,2.002716064453125e-05,2.765655517578125e-05,3.62396240234375e-05,2.0105838775634765e-05,0
